season,conference,splits,winner,wscore,loser,lscore,note
1935,SEC,1,LSU,,,,
1936,SEC,1,LSU,,,,
1937,SEC,1,Alabama,,,,
1938,SEC,1,Tennessee,,,,
1939,SEC,1,Tennessee,,,,
1939,SEC,2,Georgia Tech,,,,
1939,SEC,3,Tulane,,,,
1940,SEC,1,Tennessee,,,,
1941,SEC,1,Miss State,,,,
1942,SEC,1,Georgia,,,,
1943,SEC,1,Georgia Tech,,,,
1944,SEC,1,Georgia Tech,,,,
1945,SEC,1,Alabama,,,,
1946,SEC,1,Georgia,,,,
1946,SEC,2,Tennessee,,,,
1947,SEC,1,Mississippi,,,,
1948,SEC,1,Georgia,,,,
1949,SEC,1,Tulane,,,,
1950,SEC,1,Kentucky,,,,
1951,SEC,1,Georgia Tech,,,,
1951,SEC,2,Tennessee,,,,
1952,SEC,1,Georgia,,,,
1953,SEC,1,Alabama,,,,
1954,SEC,1,Mississippi,,,,
1955,SEC,1,Mississippi,,,,
1956,SEC,1,Tennessee,,,,
1957,SEC,1,Auburn,,,,
1958,SEC,1,LSU,,,,
1959,SEC,1,Georgia,,,,
1960,SEC,1,Mississippi,,,,
1961,SEC,1,Alabama,,,,
1961,SEC,2,LSU,,,,
1962,SEC,1,Mississippi,,,,
1963,SEC,1,Mississippi,,,,
1964,SEC,1,Alabama,,,,
1965,SEC,1,Alabama,,,,
1966,SEC,1,Alabama,,,,
1966,SEC,2,Georgia,,,,
1967,SEC,1,Tennessee,,,,
1968,SEC,1,Georgia,,,,
1969,SEC,1,Tennessee,,,,
1970,SEC,1,LSU,,,,
1971,SEC,1,Alabama,,,,
1972,SEC,1,Alabama,,,,
1973,SEC,1,Alabama,,,,
1974,SEC,1,Alabama,,,,
1975,SEC,1,Alabama,,,,
1976,SEC,1,Georgia,,,,
1976,SEC,2,Kentucky,,,,
1977,SEC,1,Kentucky,,,,
1977,SEC,2,Alabama,,,,
1978,SEC,1,Alabama,,,,
1979,SEC,1,Alabama,,,,
1980,SEC,1,Georgia,,,,
1981,SEC,1,Georgia,,,,
1981,SEC,2,Alabama,,,,
1982,SEC,1,Georgia,,,,
1983,SEC,1,Auburn,,,,
1984,SEC,1,Florida,,,,
1985,SEC,1,Tennessee,,,,Florida (5-1) ineligible
1986,SEC,1,LSU,,,,
1987,SEC,1,Auburn,,,,
1988,SEC,1,Auburn,,,,
1988,SEC,2,LSU,,,,
1989,SEC,1,Alabama,,,,
1989,SEC,2,Tennessee,,,,
1989,SEC,3,Auburn,,,,
1990,SEC,1,Tennessee,,,,Florida (6-1) ineligible
1991,SEC,1,Florida,,,,
1992,SEC,1,Alabama,28,Florida,21,
1993,SEC,1,Florida,28,Alabama,13,Auburn (8-0) ineligible
1994,SEC,1,Florida,24,Alabama,23,
1995,SEC,1,Florida,34,Arkansas,3,
1996,SEC,1,Florida,45,Alabama,30,
1997,SEC,1,Tennessee,30,Auburn,29,
1998,SEC,1,Tennessee,24,Miss State,14,
1999,SEC,1,Alabama,34,Florida,7,
2000,SEC,1,Florida,28,Auburn,6,
2001,SEC,1,LSU,31,Tennessee,20,
2002,SEC,1,Georgia,30,Arkansas,3,
2003,SEC,1,LSU,34,Georgia,13,
2004,SEC,1,Auburn,38,Tennessee,28,
2005,SEC,1,Georgia,34,LSU,14,
2006,SEC,1,Florida,38,Arkansas,28,
2007,SEC,1,LSU,21,Tennessee,14,
2008,SEC,1,Florida,31,Alabama,20,
2009,SEC,1,Alabama,32,Florida,13,
2010,SEC,1,Auburn,56,South Carolina,17,
2011,SEC,1,LSU,42,Georgia,10,
2012,SEC,1,Alabama,32,Georgia,28,
2013,SEC,1,Auburn,59,Missouri,42,
2014,SEC,1,Alabama,42,Missouri,13,
2015,SEC,1,Alabama,29,Florida,15,
2016,SEC,1,Alabama,54,Florida,16,
2017,SEC,1,Alabama,26,Georgia,23,
2018,SEC,1,Alabama,35,Georgia,28,
2019,SEC,1,LSU,37,Georgia,10,
2020,SEC,1,Alabama,52,Florida,46,
2021,SEC,1,Alabama,41,Georgia,24,
2022,SEC,1,Georgia,50,LSU,30,
2023,SEC,1,Alabama,27,Georgia,24,
2024,SEC,1,Georgia,22,Texas,19,
1900,Skyline,1,Colorado Col.,,,,
1901,Skyline,1,Colorado,,,,
1902,Skyline,1,Colorado,,,,
1903,Skyline,1,Colorado,,,,
1904,Skyline,1,Colo. Mines,,,,
1905,Skyline,1,Colo. Mines,,,,
1906,Skyline,1,Colo. Mines,,,,
1907,Skyline,1,Colo. Mines,,,,
1908,Skyline,1,Denver,,,,
1909,Skyline,1,Denver,,,,
1910,Skyline,1,Colorado,,,,
1911,Skyline,1,Colorado,,,,
1912,Skyline,1,Colo. Mines,,,,
1913,Skyline,1,Colorado,,,,
1914,Skyline,1,Colo. Mines,,,,
1915,Skyline,1,Colorado St.,,,,
1916,Skyline,1,Colorado St.,,,,
1917,Skyline,1,Denver,,,,
1918,Skyline,1,Colo. Mines,,,,
1919,Skyline,1,Colorado St.,,,,
1920,Skyline,1,Colorado St.,,,,
1921,Skyline,1,Utah State,,,,
1922,Skyline,1,Utah,,,,
1923,Skyline,1,Colorado,,,,
1924,Skyline,1,Colorado,,,,
1925,Skyline,1,Colorado St.,,,,
1926,Skyline,1,Utah,,,,
1927,Skyline,1,Colorado St.,,,,
1928,Skyline,1,Utah,,,,
1929,Skyline,1,Utah,,,,
1930,Skyline,1,Utah,,,,
1931,Skyline,1,Utah,,,,
1932,Skyline,1,Utah,,,,
1933,Skyline,1,Utah,,,,
1933,Skyline,2,Denver,,,,
1933,Skyline,3,Colorado St.,,,,
1934,Skyline,1,Colorado,,,,
1934,Skyline,2,Northern Colo.,,,,
1934,Skyline,3,Colorado St.,,,,
1935,Skyline,1,Colorado,,,,
1935,Skyline,2,Utah State,,,,
1936,Skyline,1,Utah State,,,,
1937,Skyline,1,Colorado,,,,
1938,Skyline,1,Utah,,,,
1939,Skyline,1,Colorado,,,,
1940,Skyline,1,Utah,,,,
1941,Skyline,1,Utah,,,,
1942,Skyline,1,Colorado,,,,
1942,Skyline,2,Utah,,,,
1943,Skyline,1,Colorado,,,,
1944,Skyline,1,Colorado,,,,
1945,Skyline,1,Denver,,,,
1946,Skyline,1,Utah State,,,,
1946,Skyline,2,Denver,,,,
1947,Skyline,1,Utah,,,,
1948,Skyline,1,Utah,,,,
1949,Skyline,1,Wyoming,,,,
1950,Skyline,1,Wyoming,,,,
1951,Skyline,1,Utah,,,,
1952,Skyline,1,Utah,,,,
1953,Skyline,1,Utah,,,,
1954,Skyline,1,Denver,,,,
1955,Skyline,1,Colorado St.,,,,
1956,Skyline,1,Wyoming,,,,
1957,Skyline,1,Utah,,,,
1958,Skyline,1,Wyoming,,,,
1959,Skyline,1,Wyoming,,,,
1960,Skyline,1,Wyoming,,,,
1960,Skyline,2,Utah State,,,,
1961,Skyline,1,Utah State,,,,
1961,Skyline,2,Wyoming,,,,
1922,Southern,1,Georgia Tech,,,,
1923,Southern,1,Vanderbilt,,,,
1924,Southern,1,Alabama,,,,
1925,Southern,1,Alabama,,,,
1926,Southern,1,Alabama,,,,
1927,Southern,1,Georgia Tech,,,,
1928,Southern,1,Georgia Tech,,,,
1929,Southern,1,Tulane,,,,
1930,Southern,1,Alabama,,,,
1930,Southern,2,Tulane,,,,
1931,Southern,1,Tulane,,,,
1932,Southern,1,Auburn,,,,
1932,Southern,2,Tennessee,,,,
1933,Southern,1,Duke,,,,
1934,Southern,1,Wash. & Lee,,,,
1935,Southern,1,Duke,,,,
1936,Southern,1,Duke,,,,
1937,Southern,1,Maryland,,,,
1938,Southern,1,Duke,,,,
1939,Southern,1,Clemson,,,,
1940,Southern,1,Clemson,,,,
1941,Southern,1,Duke,,,,
1942,Southern,1,William & Mary,,,,
1943,Southern,1,Duke,,,,
1944,Southern,1,Duke,,,,
1945,Southern,1,Duke,,,,
1946,Southern,1,North Carolina,,,,
1947,Southern,1,William & Mary,,,,
1948,Southern,1,Clemson,,,,
1949,Southern,1,North Carolina,,,,
1950,Southern,1,Wash. & Lee,,,,
1951,Southern,1,Maryland,,,,
1951,Southern,2,VMI,,,,
1952,Southern,1,Duke,,,,
1953,Southern,1,West Virginia,,,,
1954,Southern,1,West Virginia,,,,
1955,Southern,1,West Virginia,,,,
1956,Southern,1,West Virginia,,,,
1957,Southern,1,VMI,,,,
1958,Southern,1,West Virginia,,,,
1959,Southern,1,VMI,,,,
1960,Southern,1,VMI,,,,
1961,Southern,1,Citadel,,,,
1962,Southern,1,VMI,,,,
1963,Southern,1,Virginia Tech,,,,
1964,Southern,1,West Virginia,,,,
1965,Southern,1,West Virginia,,,,
1966,Southern,1,East Carolina,,,,
1966,Southern,2,William & Mary,,,,
1967,Southern,1,West Virginia,,,,
1968,Southern,1,Richmond,,,,
1969,Southern,1,Davidson,,,,
1969,Southern,2,Richmond,,,,
1970,Southern,1,William & Mary,,,,
1971,Southern,1,Richmond,,,,
1972,Southern,1,East Carolina,,,,
1973,Southern,1,East Carolina,,,,
1974,Southern,1,VMI,,,,
1975,Southern,1,Richmond,,,,
1976,Southern,1,East Carolina,,,,
1977,Southern,1,Chattanooga,,,,
1977,Southern,2,VMI,,,,
1978,Southern,1,Furman,,,,
1978,Southern,2,Chattanooga,,,,
1979,Southern,1,Chattanooga,,,,
1980,Southern,1,Furman,,,,
1981,Southern,1,Furman,,,,
1964,Southland,1,Lamar,,,,
1965,Southland,1,Lamar,,,,
1966,Southland,1,UT Arlington,,,,
1967,Southland,1,UT Arlington,,,,
1968,Southland,1,Arkansas St.,,,,
1969,Southland,1,Arkansas St.,,,,
1970,Southland,1,Arkansas St.,,,,
1971,Southland,1,Louisiana Tech,,,,
1972,Southland,1,Louisiana Tech,,,,
1973,Southland,1,Louisiana Tech,,,,
1974,Southland,1,Louisiana Tech,,,,
1975,Southland,1,Arkansas St.,,,,
1976,Southland,1,McNeese,,,,
1976,Southland,2,Louisiana,,,,
1977,Southland,1,Louisiana Tech,,,,
1978,Southland,1,Louisiana Tech,,,,
1979,Southland,1,McNeese,,,,
1980,Southland,1,McNeese,,,,
1981,Southland,1,UT Arlington,,,,
2001,Sun Belt,1,North Texas,,,,
2001,Sun Belt,2,Middle Tenn.,,,,
2002,Sun Belt,1,North Texas,,,,
2003,Sun Belt,1,North Texas,,,,
2004,Sun Belt,1,North Texas,,,,
2005,Sun Belt,1,Arkansas St.,,,,
2005,Sun Belt,2,UL Monroe,,,,
2005,Sun Belt,3,Louisiana,,,,
2006,Sun Belt,1,Middle Tenn.,,,,
2006,Sun Belt,2,Troy,,,,
2007,Sun Belt,1,Troy,,,,
2007,Sun Belt,2,Fla. Atlantic,,,,
2008,Sun Belt,1,Troy,,,,
2009,Sun Belt,1,Troy,,,,
2010,Sun Belt,1,Troy,,,,
2010,Sun Belt,2,FIU,,,,
2011,Sun Belt,1,Arkansas St.,,,,
2012,Sun Belt,1,Arkansas St.,,,,
2013,Sun Belt,1,Arkansas St.,,,,
2013,Sun Belt,2,Louisiana,,,,
2014,Sun Belt,1,Ga. Southern,,,,
2015,Sun Belt,1,Arkansas St.,,,,
2016,Sun Belt,1,Appalachian St.,,,,
2016,Sun Belt,2,Arkansas St.,,,,
2017,Sun Belt,1,Troy,,,,
2017,Sun Belt,2,Appalachian St.,,,,
2018,Sun Belt,1,Appalachian St.,30,Louisiana,19,
2019,Sun Belt,1,Appalachian St.,45,Louisiana,38,
2020,Sun Belt,1,Cancelled,,,,Coastal Carolina vs Louisiana
2021,Sun Belt,1,Louisiana,24,Appalachain St.,16,
2022,Sun Belt,1,Troy,45,Coastal Carolina,26,
2023,Sun Belt,1,Troy,49,Appalachain St.,23,
2024,Sun Belt,1,Marshall,31,Louisiana,3,
1914,SWC,1,No champion,,,,
1915,SWC,1,Oklahoma,,,,Baylor (3-0) forfeited title
1916,SWC,1,No champion,,,,
1917,SWC,1,Texas A&M,,,,
1918,SWC,1,No champion,,,,
1919,SWC,1,Texas A&M,,,,
1920,SWC,1,Texas,,,,
1921,SWC,1,Texas A&M,,,,
1922,SWC,1,Baylor,,,,
1923,SWC,1,SMU,,,,
1924,SWC,1,Baylor,,,,
1925,SWC,1,Texas A&M,,,,
1926,SWC,1,SMU,,,,
1927,SWC,1,Texas A&M,,,,
1928,SWC,1,Texas,,,,
1929,SWC,1,TCU,,,,
1930,SWC,1,Texas,,,,
1931,SWC,1,SMU,,,,
1932,SWC,1,TCU,,,,
1933,SWC,1,No champion,,,,Arkansas (4-1) forfeited title
1934,SWC,1,Rice,,,,
1935,SWC,1,SMU,,,,
1936,SWC,1,Arkansas,,,,
1937,SWC,1,Rice,,,,
1938,SWC,1,TCU,,,,
1939,SWC,1,Texas A&M,,,,
1940,SWC,1,Texas A&M,,,,
1941,SWC,1,Texas A&M,,,,
1942,SWC,1,Texas,,,,
1943,SWC,1,Texas,,,,
1944,SWC,1,TCU,,,,
1945,SWC,1,Texas,,,,
1946,SWC,1,Rice,,,,
1946,SWC,2,Arkansas,,,,
1947,SWC,1,SMU,,,,
1948,SWC,1,SMU,,,,
1949,SWC,1,Rice,,,,
1950,SWC,1,Texas,,,,
1951,SWC,1,TCU,,,,
1952,SWC,1,Texas,,,,
1953,SWC,1,Rice,,,,
1953,SWC,2,Texas,,,,
1954,SWC,1,Arkansas,,,,
1955,SWC,1,TCU,,,,
1956,SWC,1,Texas A&M,,,,
1957,SWC,1,Rice,,,,
1958,SWC,1,TCU,,,,
1959,SWC,1,Texas,,,,
1959,SWC,2,TCU,,,,
1959,SWC,3,Arkansas,,,,
1960,SWC,1,Arkansas,,,,
1961,SWC,1,Texas,,,,
1961,SWC,2,Arkansas,,,,
1962,SWC,1,Texas,,,,
1963,SWC,1,Texas,,,,
1964,SWC,1,Arkansas,,,,
1965,SWC,1,Arkansas,,,,
1966,SWC,1,SMU,,,,
1967,SWC,1,Texas A&M,,,,
1968,SWC,1,Texas,,,,
1968,SWC,2,Arkansas,,,,
1969,SWC,1,Texas,,,,
1970,SWC,1,Texas,,,,
1971,SWC,1,Texas,,,,
1972,SWC,1,Texas,,,,
1973,SWC,1,Texas,,,,
1974,SWC,1,Baylor,,,,
1975,SWC,1,Arkansas,,,,
1975,SWC,2,Texas A&M,,,,
1975,SWC,3,Texas,,,,
1976,SWC,1,Texas Tech,,,,
1976,SWC,2,Houston,,,,
1977,SWC,1,Texas,,,,
1978,SWC,1,Houston,,,,
1979,SWC,1,Houston,,,,
1979,SWC,2,Arkansas,,,,
1980,SWC,1,Baylor,,,,
1981,SWC,1,SMU,,,,
1982,SWC,1,SMU,,,,
1983,SWC,1,Texas,,,,
1984,SWC,1,SMU,,,,
1984,SWC,2,Houston,,,,
1985,SWC,1,Texas A&M,,,,
1986,SWC,1,Texas A&M,,,,
1987,SWC,1,Texas A&M,,,,
1988,SWC,1,Arkansas,,,,
1989,SWC,1,Arkansas,,,,
1990,SWC,1,Texas,,,,
1991,SWC,1,Texas A&M,,,,
1992,SWC,1,Texas A&M,,,,
1993,SWC,1,Texas A&M,,,,
1994,SWC,1,Baylor,,,,Texas A&M (6-0-1) on probation
1994,SWC,2,Rice,,,,
1994,SWC,3,Texas,,,,
1994,SWC,4,TCU,,,,
1994,SWC,5,Texas Tech,,,,
1995,SWC,1,Texas,,,,
1962,WAC,1,New Mexico,,,,
1963,WAC,1,New Mexico,,,,
1964,WAC,1,Arizona,,,,
1964,WAC,2,Utah,,,,
1964,WAC,3,New Mexico,,,,
1965,WAC,1,BYU,,,,
1966,WAC,1,Wyoming,,,,
1967,WAC,1,Wyoming,,,,
1968,WAC,1,Wyoming,,,,
1969,WAC,1,Arizona St.,,,,
1970,WAC,1,Arizona St.,,,,
1971,WAC,1,Arizona St.,,,,
1972,WAC,1,Arizona St.,,,,
1973,WAC,1,Arizona,,,,
1973,WAC,2,Arizona St.,,,,
1974,WAC,1,BYU,,,,
1975,WAC,1,Arizona St.,,,,
1976,WAC,1,BYU,,,,
1976,WAC,2,Wyoming,,,,
1977,WAC,1,BYU,,,,
1977,WAC,2,Arizona St.,,,,
1978,WAC,1,BYU,,,,
1979,WAC,1,BYU,,,,
1980,WAC,1,BYU,,,,
1981,WAC,1,BYU,,,,
1982,WAC,1,BYU,,,,
1983,WAC,1,BYU,,,,
1984,WAC,1,BYU,,,,
1985,WAC,1,Air Force,,,,
1985,WAC,2,BYU,,,,
1986,WAC,1,San Diego St.,,,,
1987,WAC,1,Wyoming,,,,
1988,WAC,1,Wyoming,,,,
1989,WAC,1,BYU,,,,
1990,WAC,1,BYU,,,,
1991,WAC,1,BYU,,,,
1992,WAC,1,Hawaii,,,,
1992,WAC,2,Fresno St.,,,,
1992,WAC,3,BYU,,,,
1993,WAC,1,Fresno St.,,,,
1993,WAC,2,BYU,,,,
1993,WAC,3,Wyoming,,,,
1994,WAC,1,Colorado St.,,,,
1995,WAC,1,Colorado St.,,,,
1995,WAC,2,Air Force,,,,
1995,WAC,3,Utah,,,,
1995,WAC,4,BYU,,,,
1996,WAC,1,BYU,28,Wyoming,25,
1997,WAC,1,Colorado St.,41,New Mexico,13,
1998,WAC,1,Air Force,20,BYU,13,
1999,WAC,1,Fresno St.,,,,
1999,WAC,2,Hawaii,,,,
1999,WAC,3,TCU,,,,
2000,WAC,1,TCU,,,,
2000,WAC,2,UTEP,,,,
2001,WAC,1,Louisiana Tech,,,,
2002,WAC,1,Boise St.,,,,
2003,WAC,1,Boise St.,,,,
2004,WAC,1,Boise St.,,,,
2005,WAC,1,Boise St.,,,,
2005,WAC,2,Nevada,,,,
2006,WAC,1,Boise St.,,,,
2007,WAC,1,Hawaii,,,,
2008,WAC,1,Boise St.,,,,
2009,WAC,1,Boise St.,,,,
2010,WAC,1,Boise St.,,,,
2010,WAC,2,Nevada,,,,
2010,WAC,3,Hawaii,,,,
2011,WAC,1,Louisiana Tech,,,,
2012,WAC,1,Utah State,,,,
2025,American,1,Tulane,34,North Texas,21,
2025,ACC,1,Duke,27,Virginia,20,OT
2025,Big Ten,1,Indiana,13,Ohio State,10,
2025,Big 12,1,Texas Tech,34,BYU,7,
2025,CUSA,1,Kennesaw St.,19,Jacksonville St.,15,
2025,MAC,1,Western Mich.,23,Miami Ohio,13,
2025,MWC,1,Boise St.,38,UNLV,21,
2025,Sun Belt,1,James Madison,31,Troy,14,
2025,SEC,1,Georgia,28,Alabama,7,
